,Eg
13967,5.319477558135986
46020,1.6627191305160522
94597,2.689217567443848
12319,0.7102690935134888
97584,3.274906635284424
28468,4.375542640686035
48449,2.5500142574310303
70346,4.681847095489502
51630,1.5867384672164917
74103,1.2822412252426147
17005,5.146193504333496
70806,4.405659198760986
59393,1.932019829750061
22148,2.176575899124145
75806,1.9214550256729128
9046,0.538133978843689
70639,4.261414527893066
27338,0.5984637141227722
58494,2.49927830696106
56032,0.9604706168174744
31995,0.5852590799331665
24701,0.6160402894020081
65598,0.5159982442855835
77694,1.9805541038513184
91923,0.8805232644081116
52692,0.6074923872947693
33877,5.117736339569092
49520,3.052974939346313
98464,1.30599045753479
17024,2.744691610336304
83041,1.8091135025024407
48341,2.8357152938842773
59686,0.5366818904876709
66611,2.726006031036377
38159,1.712720513343811
11369,4.1980509757995605
75594,3.1394472122192383
17848,2.9524617195129395
68833,1.990180730819702
60640,2.3451085090637207
35689,3.0275373458862305
22512,1.0517544746398926
20251,0.739753246307373
35181,3.244544267654419
47544,1.1022567749023438
96386,1.818000555038452
40635,2.473834991455078
101719,1.2553375959396362
29335,0.9251499772071838
37347,1.7630395889282229
91499,4.518650531768799
28868,4.689355850219727
76124,0.8581850528717041
20368,0.6122673749923706
46270,1.4198002815246582
5316,0.5097798109054565
82665,2.7144875526428223
75384,3.56374740600586
110085,2.986227035522461
110050,2.8746187686920166
72535,0.5496437549591064
58457,0.7353286147117615
56432,1.704387664794922
110278,1.9192715883255005
35789,3.124098777770996
48376,3.0707664489746094
48595,2.4462406635284424
80940,0.8419405221939087
839,3.097837209701538
9949,0.665972888469696
44112,0.6615156531333923
22733,1.46514892578125
97436,3.307813167572021
6227,3.1930131912231445
94179,4.200068950653076
3886,1.277686357498169
40549,0.5016900300979614
70023,5.019400596618652
71999,1.9259324073791504
31167,1.505443453788757
19580,0.7142931222915649
22330,4.569219589233398
21434,2.780656337738037
16859,1.0007153749465942
55287,3.356378555297852
82134,4.165221214294434
22696,1.3602339029312134
110658,2.899231433868408
44347,2.145249128341675
46260,1.843236207962036
88816,0.6756313443183899
61450,1.2541378736495972
103610,0.662639856338501
66567,2.4258666038513184
94157,4.143165588378906
2604,3.7336928844451904
62105,4.548216819763184
13648,4.406815052032471
165,1.8723037242889404
13966,3.3255093097686768
91255,4.884181022644043
110517,3.241042137145996
69518,4.827640533447266
98605,4.237771987915039
23076,3.766903162002564
48568,2.5906310081481934
40954,1.0111857652664185
52206,0.7094359993934631
82024,4.850468635559082
8377,1.025587558746338
65868,2.01529312133789
22327,4.559112548828125
49431,1.9793059825897217
25253,2.049837350845337
2043,1.7139815092086792
69148,1.897583246231079
62173,4.621317863464356
48037,0.5464050769805908
75491,4.253025054931641
65867,1.0287312269210815
38077,1.9333350658416748
43284,5.256619453430176
35636,1.1338942050933838
110514,2.048067569732666
43282,4.859394073486328
70402,3.866164445877075
32991,4.257972717285156
76222,2.642341136932373
105581,3.416036367416382
12470,2.270794630050659
38976,2.369483709335327
105643,3.2990658283233643
47178,1.817586898803711
3024,3.2932653427124023
108193,2.48486876487732
3465,0.9403011202812196
13916,4.640599250793457
56316,1.1795494556427002
70202,4.894410133361816
56436,1.3585152626037598
81155,1.9431183338165283
57299,1.6931475400924685
61741,0.9185868501663208
24951,1.4288619756698608
80516,1.51300311088562
85650,1.4682066440582275
110589,2.8859784603118896
94867,2.3244550228118896
30969,2.905815601348877
102034,2.887331485748291
39127,3.611598491668701
46803,3.328040361404419
30106,1.098424196243286
110369,3.609736919403076
103406,0.7472620010375977
55737,4.55731201171875
1209,0.8837713599205017
69941,4.751114845275879
15725,3.2616820335388184
79297,4.3174028396606445
23718,2.431234359741211
45468,0.986520528793335
22506,2.491208553314209
101528,3.3104686737060547
69473,4.866428852081299
48320,1.1091258525848389
75841,3.213453769683838
72117,1.6167787313461304
18878,5.434332847595215
66145,1.5461833477020264
